timestamp;inspection_id;system_name;equipment_id;mes_enabled;traceability_enabled;production_order;serial_number;model_name;shift;operation_mode;source;result_left;result_right;final_result;confidence_left;confidence_right;image_path;xml_path;mes_status
2026-03-07 17:29:44;INSP_20260307_172944_216508;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995889;0.841224;in_memory_cam1_20260307_172944;;LOCAL
2026-03-07 17:29:48;INSP_20260307_172948_858599;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995113;0.850634;in_memory_cam1_20260307_172948;;LOCAL
2026-03-07 17:29:53;INSP_20260307_172953_258247;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995799;0.775925;in_memory_cam1_20260307_172953;;LOCAL
2026-03-07 17:29:57;INSP_20260307_172957_500718;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994575;0.866372;in_memory_cam1_20260307_172957;;LOCAL
2026-03-07 17:30:09;INSP_20260307_173010_001395;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.992973;0.854694;in_memory_cam1_20260307_173009;;LOCAL
2026-03-07 18:15:27;INSP_20260307_181527_548771;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.996156;0.790438;in_memory_cam1_20260307_181527;;LOCAL
2026-03-07 18:15:50;INSP_20260307_181550_616561;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994310;0.814218;in_memory_cam1_20260307_181550;;LOCAL
2026-03-07 19:05:36;INSP_20260307_190536_847564;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISSING;NG_MISSING;0.989792;0.215630;in_memory_cam1_20260307_190536;;LOCAL
2026-03-08 18:42:05;INSP_20260308_184205_988826;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISSING;NG_MISSING;0.990194;0.088823;in_memory_cam0_20260308_184205;;LOCAL
2026-03-09 15:57:35;INSP_20260309_155735_649213;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISSING;NG_MISSING;0.993194;0.085625;in_memory_cam0_20260309_155735;;LOCAL
2026-03-09 15:57:41;INSP_20260309_155742_093391;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISSING;NG_MISSING;0.995715;0.106968;in_memory_cam0_20260309_155741;;LOCAL
2026-03-09 15:57:51;INSP_20260309_155751_779785;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISSING;NG_MISSING;0.994188;0.099359;in_memory_cam0_20260309_155751;;LOCAL
2026-03-09 16:03:13;INSP_20260309_160313_508370;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISSING;NG_MISSING;0.994397;0.055317;in_memory_cam0_20260309_160313;;LOCAL
2026-03-09 16:33:42;INSP_20260309_163342_675156;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.991170;0.889771;in_memory_cam0_20260309_163342;;LOCAL
2026-03-09 16:34:09;INSP_20260309_163409_029208;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.994601;0.930776;in_memory_cam0_20260309_163409;;LOCAL
2026-03-09 16:34:16;INSP_20260309_163416_489274;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.993576;0.948598;in_memory_cam0_20260309_163416;;LOCAL
2026-03-09 16:17:02;INSP_20260309_161702_449297;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.996706;0.956061;in_memory_cam0_20260309_161702;;LOCAL
2026-03-09 16:17:12;INSP_20260309_161712_215943;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.993990;0.969882;in_memory_cam0_20260309_161712;;LOCAL
2026-03-09 16:17:23;INSP_20260309_161724_090124;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.391836;0.953708;in_memory_cam0_20260309_161723;;LOCAL
2026-03-09 16:17:29;INSP_20260309_161729_660656;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.208353;0.954219;in_memory_cam0_20260309_161729;;LOCAL
2026-03-09 16:20:18;INSP_20260309_162018_589828;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISSING;NG_MISSING;0.516214;0.200673;in_memory_cam0_20260309_162018;;LOCAL
2026-03-09 16:20:22;INSP_20260309_162023_182598;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.241712;0.968852;in_memory_cam0_20260309_162022;;LOCAL
2026-03-09 16:20:28;INSP_20260309_162028_971767;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.126576;0.974734;in_memory_cam0_20260309_162028;;LOCAL
2026-03-09 16:20:31;INSP_20260309_162031_642754;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.214258;0.985124;in_memory_cam0_20260309_162031;;LOCAL
2026-03-09 16:20:36;INSP_20260309_162036_642120;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;OK;NG_MISSING;0.162623;0.923115;in_memory_cam0_20260309_162036;;LOCAL
2026-03-09 16:20:44;INSP_20260309_162044_805626;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISSING;NG_MISSING;0.410812;0.102526;in_memory_cam0_20260309_162044;;LOCAL
2026-03-09 16:20:47;INSP_20260309_162047_511781;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.224603;0.867519;in_memory_cam0_20260309_162047;;LOCAL
2026-03-09 16:20:52;INSP_20260309_162052_785211;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;NG_MISSING;NG_MISALIGNED;NG_MISSING;0.182868;0.848896;in_memory_cam0_20260309_162052;;LOCAL
2026-03-09 16:21:04;INSP_20260309_162104_032308;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.995295;0.965756;in_memory_cam0_20260309_162104;;LOCAL
2026-03-09 16:21:09;INSP_20260309_162109_635372;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;sensor;OK;OK;OK;0.995357;0.946188;in_memory_cam0_20260309_162109;;LOCAL
